scenario,arm,phase,opIndex,latencyMs,metaRefresh,hedgeFired,winningRegion,skipReason
S1-Healthy,main,Ok,1213,15.33,0,0,West US 2,None
S1-Healthy,main,Ok,1167,30.79,0,0,West US 2,None
S1-Healthy,main,Ok,1212,15.28,0,0,West US 2,None
S1-Healthy,main,Ok,1148,30.37,0,0,West US 2,None
S1-Healthy,main,Ok,1189,15.20,0,0,West US 2,None
S1-Healthy,main,Ok,1186,15.16,0,0,West US 2,None
S1-Healthy,main,Ok,1150,15.17,0,0,West US 2,None
S1-Healthy,main,Ok,1141,15.12,0,0,West US 2,None
S1-Healthy,main,Ok,1130,15.37,0,0,West US 2,None
S1-Healthy,main,Ok,1092,31.00,0,0,West US 2,None
S1-Healthy,main,Ok,996,31.24,0,0,West US 2,None
S1-Healthy,main,Ok,1013,31.21,0,0,West US 2,None
S1-Healthy,main,Ok,1020,31.18,0,0,West US 2,None
S1-Healthy,main,Ok,1018,31.18,0,0,West US 2,None
S1-Healthy,main,Ok,1029,31.14,0,0,West US 2,None
S1-Healthy,main,Ok,1047,15.60,0,0,West US 2,None
S1-Healthy,main,Ok,1001,31.22,0,0,West US 2,None
S1-Healthy,main,Ok,1010,31.19,0,0,West US 2,None
S1-Healthy,main,Ok,1023,31.16,0,0,West US 2,None
S1-Healthy,main,Ok,1042,15.55,0,0,West US 2,None
S1-Healthy,main,Ok,997,15.60,0,0,West US 2,None
S1-Healthy,main,Ok,1005,15.57,0,0,West US 2,None
S1-Healthy,main,Ok,991,31.07,0,0,West US 2,None
S1-Healthy,main,Ok,993,31.07,0,0,West US 2,None
S1-Healthy,main,Ok,1025,15.52,0,0,West US 2,None
S1-Healthy,main,Ok,963,31.11,0,0,West US 2,None
S1-Healthy,main,Ok,1027,15.50,0,0,West US 2,None
S1-Healthy,main,Ok,788,15.75,0,0,West US 2,None
S1-Healthy,main,Ok,803,15.73,0,0,West US 2,None
S1-Healthy,main,Ok,816,15.68,0,0,West US 2,None
S1-Healthy,main,Ok,801,15.70,0,0,West US 2,None
S1-Healthy,main,Ok,809,15.65,0,0,West US 2,None
S1-Healthy,main,Ok,797,15.71,0,0,West US 2,None
S1-Healthy,main,Ok,761,31.21,0,0,West US 2,None
S1-Healthy,main,Ok,728,15.59,0,0,West US 2,None
S1-Healthy,main,Ok,717,15.70,0,0,West US 2,None
S1-Healthy,main,Ok,707,15.68,0,0,West US 2,None
S1-Healthy,main,Ok,723,15.64,0,0,West US 2,None
S1-Healthy,main,Ok,749,15.51,0,0,West US 2,None
S1-Healthy,main,Ok,752,15.40,0,0,West US 2,None
S1-Healthy,main,Ok,685,30.58,0,0,West US 2,None
S1-Healthy,main,Ok,698,30.54,0,0,West US 2,None
S1-Healthy,main,Ok,667,45.37,0,0,West US 2,None
S1-Healthy,main,Ok,700,30.52,0,0,West US 2,None
S1-Healthy,main,Ok,695,30.44,0,0,West US 2,None
S1-Healthy,main,Ok,662,45.31,0,0,West US 2,None
S1-Healthy,main,Ok,642,45.23,0,0,West US 2,None
S1-Healthy,main,Ok,672,45.16,0,0,West US 2,None
S1-Healthy,main,Ok,680,30.37,0,0,West US 2,None
S1-Healthy,main,Ok,690,30.30,0,0,West US 2,None
S1-Healthy,main,Ok,625,29.74,0,0,West US 2,None
S1-Healthy,main,Ok,654,14.84,0,0,West US 2,None
S1-Healthy,main,Ok,635,29.71,0,0,West US 2,None
S1-Healthy,main,Ok,658,14.81,0,0,West US 2,None
S1-Healthy,main,Ok,664,14.73,0,0,West US 2,None
S1-Healthy,main,Ok,589,15.15,0,0,West US 2,None
S1-Healthy,main,Ok,562,30.04,0,0,West US 2,None
S1-Healthy,main,Ok,576,15.16,0,0,West US 2,None
S1-Healthy,main,Ok,590,15.11,0,0,West US 2,None
S1-Healthy,main,Ok,529,15.04,0,0,West US 2,None
S1-Healthy,main,Ok,451,15.74,0,0,West US 2,None
S1-Healthy,main,Ok,455,15.67,0,0,West US 2,None
S1-Healthy,main,Ok,459,15.67,0,0,West US 2,None
S1-Healthy,main,Ok,387,30.95,0,0,West US 2,None
S1-Healthy,main,Ok,397,30.91,0,0,West US 2,None
S1-Healthy,main,Ok,408,14.98,0,0,West US 2,None
S1-Healthy,main,Ok,404,14.97,0,0,West US 2,None
S1-Healthy,main,Ok,380,30.92,0,0,West US 2,None
S1-Healthy,main,Ok,413,14.98,0,0,West US 2,None
S1-Healthy,main,Ok,416,14.93,0,0,West US 2,None
S1-Healthy,main,Ok,356,31.28,0,0,West US 2,None
S1-Healthy,main,Ok,335,31.23,0,0,West US 2,None
S1-Healthy,main,Ok,325,31.12,0,0,West US 2,None
S1-Healthy,main,Ok,323,31.16,0,0,West US 2,None
S1-Healthy,main,Ok,331,31.06,0,0,West US 2,None
S1-Healthy,main,Ok,282,31.62,0,0,West US 2,None
S1-Healthy,main,Ok,320,15.87,0,0,West US 2,None
S1-Healthy,main,Ok,314,15.84,0,0,West US 2,None
S1-Healthy,main,Ok,261,31.95,0,0,West US 2,None
S1-Healthy,main,Ok,300,15.71,0,0,West US 2,None
S1-Healthy,main,Ok,277,15.75,0,0,West US 2,None
S1-Healthy,main,Ok,291,15.66,0,0,West US 2,None
S1-Healthy,main,Ok,231,31.98,0,0,West US 2,None
S1-Healthy,main,ColdStart,192,78.11,1,0,West US 2,None
S1-Healthy,main,Ok,242,16.15,0,0,West US 2,None
S1-Healthy,main,Ok,211,31.01,0,0,West US 2,None
S1-Healthy,main,ColdStart,170,61.99,1,0,West US 2,None
S1-Healthy,main,ColdStart,162,77.19,1,0,West US 2,None
S1-Healthy,main,ColdStart,145,76.23,1,0,West US 2,None
S1-Healthy,main,ColdStart,138,76.32,1,0,West US 2,None
S1-Healthy,main,ColdStart,126,76.80,1,0,West US 2,None
S1-Healthy,main,ColdStart,56,90.39,1,0,West US 2,None
S1-Healthy,main,Ok,1661,31.71,0,0,West US 2,None
S1-Healthy,main,Ok,1658,31.69,0,0,West US 2,None
S1-Healthy,main,Ok,1667,31.67,0,0,West US 2,None
S1-Healthy,main,Ok,1672,31.66,0,0,West US 2,None
S1-Healthy,main,Ok,1692,16.09,0,0,West US 2,None
S1-Healthy,main,Ok,1600,16.07,0,0,West US 2,None
S1-Healthy,main,Ok,1613,16.03,0,0,West US 2,None
S1-Healthy,main,Ok,1479,30.54,0,0,West US 2,None
S1-Healthy,main,Ok,1520,15.66,0,0,West US 2,None
S1-Healthy,main,Ok,1532,15.59,0,0,West US 2,None
S1-Healthy,main,Ok,1536,15.59,0,0,West US 2,None
S1-Healthy,main,Ok,1492,30.44,0,0,West US 2,None
S1-Healthy,main,Ok,1498,30.42,0,0,West US 2,None
S1-Healthy,main,Ok,1529,15.60,0,0,West US 2,None
S1-Healthy,main,Ok,1505,14.78,0,0,West US 2,None
S1-Healthy,main,Ok,1452,15.48,0,0,West US 2,None
S1-Healthy,main,Ok,1449,15.44,0,0,West US 2,None
S1-Healthy,main,Ok,1440,15.07,0,0,West US 2,None
S1-Healthy,main,Ok,1410,31.04,0,0,West US 2,None
S1-Healthy,main,Ok,1407,31.03,0,0,West US 2,None
S1-Healthy,main,Ok,1418,15.50,0,0,West US 2,None
S1-Healthy,main,Ok,1397,31.01,0,0,West US 2,None
S1-Healthy,main,Ok,1392,15.72,0,0,West US 2,None
S1-Healthy,main,Ok,1325,16.13,0,0,West US 2,None
S1-Healthy,main,Ok,1305,16.12,0,0,West US 2,None
S1-Healthy,main,Ok,1336,16.07,0,0,West US 2,None
S1-Healthy,main,Ok,1313,16.03,0,0,West US 2,None
S1-Healthy,main,Ok,1292,15.60,0,0,West US 2,None
S1-Healthy,main,Ok,1274,15.55,0,0,West US 2,None
S1-Healthy,main,Ok,1264,14.87,0,0,West US 2,None
S1-Healthy,main,Ok,1187,30.55,0,0,West US 2,None
S1-Healthy,main,Ok,1203,15.41,0,0,West US 2,None
S1-Healthy,main,Ok,1166,30.81,0,0,West US 2,None
S1-Healthy,main,Ok,1172,30.57,0,0,West US 2,None
S1-Healthy,main,Ok,1226,15.25,0,0,West US 2,None
S1-Healthy,main,Ok,1144,15.20,0,0,West US 2,None
S1-Healthy,main,Ok,1129,30.22,0,0,West US 2,None
S1-Healthy,main,Ok,1133,14.86,0,0,West US 2,None
S1-Healthy,main,Ok,1106,30.28,0,0,West US 2,None
S1-Healthy,main,Ok,1145,14.85,0,0,West US 2,None
S1-Healthy,main,Ok,1149,14.79,0,0,West US 2,None
S1-Healthy,main,Ok,1064,31.04,0,0,West US 2,None
S1-Healthy,main,Ok,1122,15.29,0,0,West US 2,None
S1-Healthy,main,Ok,988,15.58,0,0,West US 2,None
S1-Healthy,main,Ok,960,15.59,0,0,West US 2,None
S1-Healthy,main,Ok,970,15.61,0,0,West US 2,None
S1-Healthy,main,Ok,967,15.59,0,0,West US 2,None
S1-Healthy,main,Ok,962,15.57,0,0,West US 2,None
S1-Healthy,main,Ok,952,31.51,0,0,West US 2,None
S1-Healthy,main,Ok,954,31.50,0,0,West US 2,None
S1-Healthy,main,Ok,987,15.52,0,0,West US 2,None
S1-Healthy,main,Ok,940,31.45,0,0,West US 2,None
S1-Healthy,main,Ok,938,31.45,0,0,West US 2,None
S1-Healthy,main,Ok,923,31.46,0,0,West US 2,None
S1-Healthy,main,Ok,956,31.44,0,0,West US 2,None
S1-Healthy,main,Ok,971,15.51,0,0,West US 2,None
S1-Healthy,main,Ok,978,15.49,0,0,West US 2,None
S1-Healthy,main,Ok,953,15.97,0,0,West US 2,None
S1-Healthy,main,Ok,920,15.98,0,0,West US 2,None
S1-Healthy,main,Ok,949,15.97,0,0,West US 2,None
S1-Healthy,main,Ok,946,15.96,0,0,West US 2,None
S1-Healthy,main,Ok,943,15.93,0,0,West US 2,None
S1-Healthy,main,Ok,931,15.93,0,0,West US 2,None
S1-Healthy,main,Ok,957,15.91,0,0,West US 2,None
S1-Healthy,main,Ok,936,15.91,0,0,West US 2,None
S1-Healthy,main,Ok,908,30.84,0,0,West US 2,None
S1-Healthy,main,Ok,913,30.83,0,0,West US 2,None
S1-Healthy,main,Ok,902,30.85,0,0,West US 2,None
S1-Healthy,main,Ok,914,30.80,0,0,West US 2,None
S1-Healthy,main,Ok,889,29.99,0,0,West US 2,None
S1-Healthy,main,Ok,912,14.90,0,0,West US 2,None
S1-Healthy,main,Ok,885,29.97,0,0,West US 2,None
S1-Healthy,main,Ok,909,14.91,0,0,West US 2,None
S1-Healthy,main,Ok,859,30.01,0,0,West US 2,None
S1-Healthy,main,Ok,868,30.02,0,0,West US 2,None
S1-Healthy,main,Ok,900,14.90,0,0,West US 2,None
S1-Healthy,main,Ok,856,30.01,0,0,West US 2,None
S1-Healthy,main,Ok,905,14.89,0,0,West US 2,None
S1-Healthy,main,Ok,787,15.78,0,0,West US 2,None
S1-Healthy,main,Ok,781,31.20,0,0,West US 2,None
S1-Healthy,main,Ok,806,15.72,0,0,West US 2,None
S1-Healthy,main,Ok,814,15.68,0,0,West US 2,None
S1-Healthy,main,Ok,773,31.18,0,0,West US 2,None
S1-Healthy,main,Ok,757,31.23,0,0,West US 2,None
S1-Healthy,main,Ok,805,15.67,0,0,West US 2,None
S1-Healthy,main,Ok,775,15.51,0,0,West US 2,None
S1-Healthy,main,Ok,724,31.11,0,0,West US 2,None
S1-Healthy,main,Ok,753,30.98,0,0,West US 2,None
S1-Healthy,main,Ok,746,31.02,0,0,West US 2,None
S1-Healthy,main,Ok,777,15.42,0,0,West US 2,None
S1-Healthy,main,Ok,726,31.06,0,0,West US 2,None
S1-Healthy,main,Ok,734,31.04,0,0,West US 2,None
S1-Healthy,main,Ok,747,30.95,0,0,West US 2,None
S1-Healthy,main,Ok,762,15.45,0,0,West US 2,None
S1-Healthy,main,Ok,748,30.91,0,0,West US 2,None
S1-Healthy,main,Ok,673,14.69,0,0,West US 2,None
S1-Healthy,main,Ok,608,15.10,0,0,West US 2,None
S1-Healthy,main,Ok,563,30.04,0,0,West US 2,None
S1-Healthy,main,Ok,568,29.99,0,0,West US 2,None
S1-Healthy,main,Ok,564,30.00,0,0,West US 2,None
S1-Healthy,main,Ok,531,30.06,0,0,West US 2,None
S1-Healthy,main,Ok,555,15.04,0,0,West US 2,None
S1-Healthy,main,Ok,561,14.89,0,0,West US 2,None
S1-Healthy,main,Ok,570,14.76,0,0,West US 2,None
S1-Healthy,main,Ok,573,14.61,0,0,West US 2,None
S1-Healthy,main,Ok,520,30.10,0,0,West US 2,None
S1-Healthy,main,Ok,516,30.07,0,0,West US 2,None
S1-Healthy,main,Ok,534,29.97,0,0,West US 2,None
S1-Healthy,main,Ok,538,15.03,0,0,West US 2,None
S1-Healthy,main,Ok,507,31.03,0,0,West US 2,None
S1-Healthy,main,Ok,480,16.02,0,0,West US 2,None
S1-Healthy,main,Ok,443,15.79,0,0,West US 2,None
S1-Healthy,main,Ok,440,15.74,0,0,West US 2,None
S1-Healthy,main,Ok,426,30.69,0,0,West US 2,None
S1-Healthy,main,Ok,410,30.73,0,0,West US 2,None
S1-Healthy,main,Ok,462,15.69,0,0,West US 2,None
S1-Healthy,main,Ok,466,15.62,0,0,West US 2,None
S1-Healthy,main,Ok,422,30.62,0,0,West US 2,None
S1-Healthy,main,Ok,412,15.09,0,0,West US 2,None
S1-Healthy,main,Ok,401,15.01,0,0,West US 2,None
S1-Healthy,main,Ok,409,14.98,0,0,West US 2,None
S1-Healthy,main,Ok,400,15.00,0,0,West US 2,None
S1-Healthy,main,Ok,385,30.91,0,0,West US 2,None
S1-Healthy,main,Ok,391,30.89,0,0,West US 2,None
S1-Healthy,main,Ok,405,14.92,0,0,West US 2,None
S1-Healthy,main,Ok,342,31.28,0,0,West US 2,None
S1-Healthy,main,Ok,352,31.25,0,0,West US 2,None
S1-Healthy,main,Ok,376,15.94,0,0,West US 2,None
S1-Healthy,main,Ok,348,15.24,0,0,West US 2,None
S1-Healthy,main,Ok,295,31.61,0,0,West US 2,None
S1-Healthy,main,Ok,286,15.75,0,0,West US 2,None
S1-Healthy,main,Ok,268,31.75,0,0,West US 2,None
S1-Healthy,main,Ok,226,15.93,0,0,West US 2,None
S1-Healthy,main,Ok,207,31.01,0,0,West US 2,None
S1-Healthy,main,ColdStart,171,77.85,1,0,West US 2,None
S1-Healthy,main,Ok,229,15.74,0,0,West US 2,None
S1-Healthy,main,Ok,212,15.10,0,0,West US 2,None
S1-Healthy,main,ColdStart,193,46.07,1,0,West US 2,None
S1-Healthy,main,ColdStart,181,46.20,1,0,West US 2,None
S1-Healthy,main,ColdStart,125,60.95,1,0,West US 2,None
S1-Healthy,main,ColdStart,128,60.94,1,0,West US 2,None
S1-Healthy,main,ColdStart,102,75.30,1,0,West US 2,None
S1-Healthy,main,ColdStart,64,76.20,1,0,West US 2,None
S1-Healthy,main,ColdStart,76,76.10,1,0,West US 2,None
S1-Healthy,main,ColdStart,59,76.10,1,0,West US 2,None
S1-Healthy,main,ColdStart,54,75.67,1,0,West US 2,None
S1-Healthy,main,ColdStart,86,46.12,1,0,West US 2,None
S1-Healthy,main,ColdStart,55,75.62,1,0,West US 2,None
S1-Healthy,main,Ok,1657,13.50,0,0,West US 2,None
S1-Healthy,main,Ok,1605,30.42,0,0,West US 2,None
S1-Healthy,main,Ok,1610,30.41,0,0,West US 2,None
S1-Healthy,main,Ok,1603,30.40,0,0,West US 2,None
S1-Healthy,main,Ok,1630,15.02,0,0,West US 2,None
S1-Healthy,main,Ok,1619,30.37,0,0,West US 2,None
S1-Healthy,main,Ok,1626,15.04,0,0,West US 2,None
S1-Healthy,main,Ok,1652,13.42,0,0,West US 2,None
S1-Healthy,main,Ok,1592,15.43,0,0,West US 2,None
S1-Healthy,main,Ok,1571,30.76,0,0,West US 2,None
S1-Healthy,main,Ok,1550,30.80,0,0,West US 2,None
S1-Healthy,main,Ok,1567,30.76,0,0,West US 2,None
S1-Healthy,main,Ok,1562,30.71,0,0,West US 2,None
S1-Healthy,main,Ok,1575,15.39,0,0,West US 2,None
S1-Healthy,main,Ok,1523,15.63,0,0,West US 2,None
S1-Healthy,main,Ok,1504,30.37,0,0,West US 2,None
S1-Healthy,main,Ok,1508,30.36,0,0,West US 2,None
S1-Healthy,main,Ok,1541,15.46,0,0,West US 2,None
S1-Healthy,main,Ok,1477,30.23,0,0,West US 2,None
S1-Healthy,main,Ok,1370,31.23,0,0,West US 2,None
S1-Healthy,main,Ok,1367,31.06,0,0,West US 2,None
S1-Healthy,main,Ok,1402,15.53,0,0,West US 2,None
S1-Healthy,main,Ok,1344,31.01,0,0,West US 2,None
S1-Healthy,main,Ok,1350,30.99,0,0,West US 2,None
S1-Healthy,main,Ok,1369,30.97,0,0,West US 2,None
S1-Healthy,main,Ok,1375,30.90,0,0,West US 2,None
S1-Healthy,main,Ok,1384,15.50,0,0,West US 2,None
S1-Healthy,main,Ok,1385,15.49,0,0,West US 2,None
S1-Healthy,main,Ok,1399,15.46,0,0,West US 2,None
S1-Healthy,main,Ok,1405,15.42,0,0,West US 2,None
S1-Healthy,main,Ok,1345,15.47,0,0,West US 2,None
S1-Healthy,main,Ok,1368,15.46,0,0,West US 2,None
S1-Healthy,main,Ok,1310,31.55,0,0,West US 2,None
S1-Healthy,main,Ok,1312,31.53,0,0,West US 2,None
S1-Healthy,main,Ok,1347,15.40,0,0,West US 2,None
S1-Healthy,main,Ok,1376,15.34,0,0,West US 2,None
S1-Healthy,main,Ok,1357,15.41,0,0,West US 2,None
S1-Healthy,main,Ok,1324,31.44,0,0,West US 2,None
S1-Healthy,main,Ok,1278,15.58,0,0,West US 2,None
S1-Healthy,main,Ok,1298,15.53,0,0,West US 2,None
S1-Healthy,main,Ok,1242,30.52,0,0,West US 2,None
S1-Healthy,main,Ok,1257,30.48,0,0,West US 2,None
S1-Healthy,main,Ok,1285,15.50,0,0,West US 2,None
S1-Healthy,main,Ok,1244,30.49,0,0,West US 2,None
S1-Healthy,main,Ok,1216,30.32,0,0,West US 2,None
S1-Healthy,main,Ok,1229,30.23,0,0,West US 2,None
S1-Healthy,main,Ok,1234,14.92,0,0,West US 2,None
S1-Healthy,main,Ok,1260,14.84,0,0,West US 2,None
S1-Healthy,main,Ok,1222,15.36,0,0,West US 2,None
S1-Healthy,main,Ok,1231,15.27,0,0,West US 2,None
S1-Healthy,main,Ok,1173,30.57,0,0,West US 2,None
S1-Healthy,main,Ok,1169,30.76,0,0,West US 2,None
S1-Healthy,main,Ok,1200,15.18,0,0,West US 2,None
S1-Healthy,main,Ok,1160,30.29,0,0,West US 2,None
S1-Healthy,main,Ok,1138,15.16,0,0,West US 2,None
S1-Healthy,main,Ok,1115,30.50,0,0,West US 2,None
S1-Healthy,main,Ok,1116,30.49,0,0,West US 2,None
S1-Healthy,main,Ok,1126,30.48,0,0,West US 2,None
S1-Healthy,main,Ok,1110,30.52,0,0,West US 2,None
S1-Healthy,main,Ok,1158,15.04,0,0,West US 2,None
S1-Healthy,main,Ok,1124,30.44,0,0,West US 2,None
S1-Healthy,main,Ok,1151,14.79,0,0,West US 2,None
S1-Healthy,main,Ok,1089,31.06,0,0,West US 2,None
S1-Healthy,main,Ok,1117,15.36,0,0,West US 2,None
S1-Healthy,main,Ok,1087,15.64,0,0,West US 2,None
S1-Healthy,main,Ok,1063,15.61,0,0,West US 2,None
S1-Healthy,main,Ok,1049,31.26,0,0,West US 2,None
S1-Healthy,main,Ok,1046,31.26,0,0,West US 2,None
S1-Healthy,main,Ok,1090,15.64,0,0,West US 2,None
S1-Healthy,main,Ok,1085,15.62,0,0,West US 2,None
S1-Healthy,main,Ok,1060,15.64,0,0,West US 2,None
S1-Healthy,main,Ok,1091,15.61,0,0,West US 2,None
S1-Healthy,main,Ok,1066,15.59,0,0,West US 2,None
S1-Healthy,main,Ok,1057,31.18,0,0,West US 2,None
S1-Healthy,main,Ok,1003,31.23,0,0,West US 2,None
S1-Healthy,main,Ok,1011,31.20,0,0,West US 2,None
S1-Healthy,main,Ok,1021,31.16,0,0,West US 2,None
S1-Healthy,main,Ok,1032,31.13,0,0,West US 2,None
S1-Healthy,main,Ok,1056,15.60,0,0,West US 2,None
S1-Healthy,main,Ok,1053,15.59,0,0,West US 2,None
S1-Healthy,main,Ok,1051,15.58,0,0,West US 2,None
S1-Healthy,main,Ok,1058,15.57,0,0,West US 2,None
S1-Healthy,main,Ok,986,31.07,0,0,West US 2,None
S1-Healthy,main,Ok,891,29.99,0,0,West US 2,None
S1-Healthy,main,Ok,895,14.94,0,0,West US 2,None
S1-Healthy,main,Ok,878,30.00,0,0,West US 2,None
S1-Healthy,main,Ok,893,14.94,0,0,West US 2,None
S1-Healthy,main,Ok,873,30.00,0,0,West US 2,None
S1-Healthy,main,Ok,866,30.01,0,0,West US 2,None
S1-Healthy,main,Ok,903,14.91,0,0,West US 2,None
S1-Healthy,main,Ok,871,30.00,0,0,West US 2,None
S1-Healthy,main,Ok,892,14.91,0,0,West US 2,None
S1-Healthy,main,Ok,754,31.02,0,0,West US 2,None
S1-Healthy,main,Ok,720,15.70,0,0,West US 2,None
S1-Healthy,main,Ok,697,30.53,0,0,West US 2,None
S1-Healthy,main,Ok,660,45.42,0,0,West US 2,None
S1-Healthy,main,Ok,682,30.50,0,0,West US 2,None
S1-Healthy,main,Ok,657,45.25,0,0,West US 2,None
S1-Healthy,main,Ok,647,45.20,0,0,West US 2,None
S1-Healthy,main,Ok,701,30.36,0,0,West US 2,None
S1-Healthy,main,Ok,684,30.33,0,0,West US 2,None
S1-Healthy,main,Ok,617,29.85,0,0,West US 2,None
S1-Healthy,main,Ok,628,29.73,0,0,West US 2,None
S1-Healthy,main,Ok,636,29.73,0,0,West US 2,None
S1-Healthy,main,Ok,626,29.72,0,0,West US 2,None
S1-Healthy,main,Ok,650,14.73,0,0,West US 2,None
S1-Healthy,main,Ok,614,15.03,0,0,West US 2,None
S1-Healthy,main,Ok,627,14.97,0,0,West US 2,None
S1-Healthy,main,Ok,585,30.06,0,0,West US 2,None
S1-Healthy,main,Ok,594,30.02,0,0,West US 2,None
S1-Healthy,main,Ok,602,29.99,0,0,West US 2,None
S1-Healthy,main,Ok,577,30.07,0,0,West US 2,None
S1-Healthy,main,Ok,581,30.00,0,0,West US 2,None
S1-Healthy,main,Ok,634,14.77,0,0,West US 2,None
S1-Healthy,main,Ok,549,15.06,0,0,West US 2,None
S1-Healthy,main,Ok,545,15.03,0,0,West US 2,None
S1-Healthy,main,Ok,559,15.01,0,0,West US 2,None
S1-Healthy,main,Ok,527,30.00,0,0,West US 2,None
S1-Healthy,main,Ok,515,30.06,0,0,West US 2,None
S1-Healthy,main,Ok,569,14.74,0,0,West US 2,None
S1-Healthy,main,Ok,528,15.04,0,0,West US 2,None
S1-Healthy,main,Ok,501,16.09,0,0,West US 2,None
S1-Healthy,main,Ok,447,31.79,0,0,West US 2,None
S1-Healthy,main,Ok,472,16.12,0,0,West US 2,None
S1-Healthy,main,Ok,491,15.88,0,0,West US 2,None
