scenario,arm,phase,opIndex,latencyMs,metaRefresh,hedgeFired,winningRegion,skipReason
S1-Healthy,main,Ok,1693,31.71,0,0,West US 2,None
S1-Healthy,main,Ok,1690,16.08,0,0,West US 2,None
S1-Healthy,main,Ok,1685,31.58,0,0,West US 2,None
S1-Healthy,main,Ok,1698,16.07,0,0,West US 2,None
S1-Healthy,main,Ok,1675,31.63,0,0,West US 2,None
S1-Healthy,main,Ok,1700,16.04,0,0,West US 2,None
S1-Healthy,main,Ok,1688,15.50,0,0,West US 2,None
S1-Healthy,main,Ok,1695,16.54,0,0,West US 2,None
S1-Healthy,main,Ok,1670,15.61,0,0,West US 2,None
S1-Healthy,main,Ok,1656,29.07,0,0,West US 2,None
S1-Healthy,main,Ok,1664,15.62,0,0,West US 2,None
S1-Healthy,main,Ok,1686,15.59,0,0,West US 2,None
S1-Healthy,main,Ok,1677,15.59,0,0,West US 2,None
S1-Healthy,main,Ok,1624,30.65,0,0,West US 2,None
S1-Healthy,main,Ok,1632,30.64,0,0,West US 2,None
S1-Healthy,main,Ok,1631,30.63,0,0,West US 2,None
S1-Healthy,main,Ok,1640,30.62,0,0,West US 2,None
S1-Healthy,main,Ok,1679,15.53,0,0,West US 2,None
S1-Healthy,main,Ok,1645,29.60,0,0,West US 2,None
S1-Healthy,main,Ok,1633,30.55,0,0,West US 2,None
S1-Healthy,main,Ok,1654,13.57,0,0,West US 2,None
S1-Healthy,main,Ok,1674,31.95,0,0,West US 2,None
S1-Healthy,main,Ok,1634,15.56,0,0,West US 2,None
S1-Healthy,main,Ok,1612,30.37,0,0,West US 2,None
S1-Healthy,main,Ok,1650,13.90,0,0,West US 2,None
S1-Healthy,main,Ok,1678,31.62,0,0,West US 2,None
S1-Healthy,main,Ok,1601,30.42,0,0,West US 2,None
S1-Healthy,main,Ok,1606,30.39,0,0,West US 2,None
S1-Healthy,main,Ok,1629,15.02,0,0,West US 2,None
S1-Healthy,main,Ok,1628,15.05,0,0,West US 2,None
S1-Healthy,main,Ok,1625,15.04,0,0,West US 2,None
S1-Healthy,main,Ok,1597,30.40,0,0,West US 2,None
S1-Healthy,main,Ok,1593,30.39,0,0,West US 2,None
S1-Healthy,main,Ok,1671,32.17,0,0,West US 2,None
S1-Healthy,main,Ok,1614,16.05,0,0,West US 2,None
S1-Healthy,main,Ok,1659,31.69,0,0,West US 2,None
S1-Healthy,main,Ok,1666,31.67,0,0,West US 2,None
S1-Healthy,main,Ok,1669,31.67,0,0,West US 2,None
S1-Healthy,main,Ok,1694,16.09,0,0,West US 2,None
S1-Healthy,main,Ok,1576,31.46,0,0,West US 2,None
S1-Healthy,main,Ok,1599,15.87,0,0,West US 2,None
S1-Healthy,main,Ok,1616,15.28,0,0,West US 2,None
S1-Healthy,main,Ok,1573,15.39,0,0,West US 2,None
S1-Healthy,main,Ok,1580,15.38,0,0,West US 2,None
S1-Healthy,main,Ok,1524,31.00,0,0,West US 2,None
S1-Healthy,main,Ok,1489,30.45,0,0,West US 2,None
S1-Healthy,main,Ok,1518,15.63,0,0,West US 2,None
S1-Healthy,main,Ok,1497,30.41,0,0,West US 2,None
S1-Healthy,main,Ok,1450,30.24,0,0,West US 2,None
S1-Healthy,main,Ok,1458,15.40,0,0,West US 2,None
S1-Healthy,main,Ok,1412,30.94,0,0,West US 2,None
S1-Healthy,main,Ok,1423,30.87,0,0,West US 2,None
S1-Healthy,main,Ok,1438,30.77,0,0,West US 2,None
S1-Healthy,main,Ok,1469,15.33,0,0,West US 2,None
S1-Healthy,main,Ok,1421,30.90,0,0,West US 2,None
S1-Healthy,main,Ok,1416,30.85,0,0,West US 2,None
S1-Healthy,main,Ok,1425,15.50,0,0,West US 2,None
S1-Healthy,main,Ok,1388,15.77,0,0,West US 2,None
S1-Healthy,main,Ok,1364,31.03,0,0,West US 2,None
S1-Healthy,main,Ok,1404,15.55,0,0,West US 2,None
S1-Healthy,main,Ok,1340,31.09,0,0,West US 2,None
S1-Healthy,main,Ok,1348,31.01,0,0,West US 2,None
S1-Healthy,main,Ok,1361,31.01,0,0,West US 2,None
S1-Healthy,main,Ok,1408,15.53,0,0,West US 2,None
S1-Healthy,main,Ok,1338,16.03,0,0,West US 2,None
S1-Healthy,main,Ok,1288,31.61,0,0,West US 2,None
S1-Healthy,main,Ok,1328,16.05,0,0,West US 2,None
S1-Healthy,main,Ok,1284,31.61,0,0,West US 2,None
S1-Healthy,main,Ok,1333,16.03,0,0,West US 2,None
S1-Healthy,main,Ok,1319,16.01,0,0,West US 2,None
S1-Healthy,main,Ok,1323,15.97,0,0,West US 2,None
S1-Healthy,main,Ok,1266,14.82,0,0,West US 2,None
S1-Healthy,main,Ok,1181,30.61,0,0,West US 2,None
S1-Healthy,main,Ok,1228,15.34,0,0,West US 2,None
S1-Healthy,main,Ok,1204,15.37,0,0,West US 2,None
