arm,scenario,regime,latencyMs,hedged
PR(ON),mixed,refresh,1733.56,0
PR(ON),mixed,refresh,1714.38,0
PR(ON),mixed,refresh,1733.57,0
PR(ON),mixed,refresh,1833.67,0
PR(ON),mixed,refresh,1744.32,0
PR(ON),mixed,refresh,1834.42,0
PR(ON),mixed,warm,15.71,0
PR(ON),mixed,warm,77.42,0
PR(ON),fastfail,brownout,91.68,1
PR(ON),fastfail,brownout,91.50,1
PR(ON),fastfail,brownout,79.71,1
PR(ON),fastfail,brownout,80.62,1
PR(ON),fastfail,brownout,79.18,1
PR(ON),fastfail,brownout,76.29,1
PR(ON),fastfail,brownout,319.98,1
PR(ON),fastfail,brownout,315.10,1
PR(ON),fastfail,brownout,261.03,1
PR(ON),mixed,warm,101.21,0
PR(ON),mixed,warm,14.81,0
PR(ON),mixed,warm,20.45,0
PR(ON),mixed,warm,7.77,0
PR(ON),mixed,warm,8.04,0
PR(ON),mixed,warm,81.63,0
PR(ON),mixed,warm,9.29,0
PR(ON),mixed,warm,11.67,0
PR(ON),mixed,warm,62.87,0
PR(ON),mixed,warm,69.34,0
PR(ON),mixed,refresh,1835.64,0
PR(ON),mixed,warm,85.69,0
PR(ON),mixed,warm,17.58,0
PR(ON),mixed,warm,8.58,0
PR(ON),mixed,warm,13.04,0
PR(ON),mixed,warm,104.90,0
PR(ON),mixed,warm,103.66,0
PR(ON),mixed,warm,8.32,0
PR(ON),mixed,warm,7.81,0
PR(ON),mixed,warm,8.22,0
PR(ON),mixed,warm,14.74,0
PR(ON),mixed,warm,8.25,0
PR(ON),mixed,warm,62.35,0
PR(ON),mixed,warm,61.91,0
PR(ON),fastfail,brownout,80.99,1
PR(ON),fastfail,brownout,80.41,1
PR(ON),fastfail,brownout,77.12,1
PR(ON),fastfail,brownout,110.69,1
PR(ON),fastfail,brownout,92.45,1
PR(ON),fastfail,brownout,80.74,1
PR(ON),mixed,warm,64.32,0
PR(ON),mixed,warm,62.04,0
PR(ON),refresh,saturating,1595.76,1
PR(ON),refresh,saturating,1594.74,1
PR(ON),refresh,saturating,1592.74,1
PR(ON),refresh,saturating,1886.83,1
PR(ON),refresh,saturating,1585.14,1
PR(ON),refresh,saturating,1584.92,1
PR(ON),refresh,saturating,1589.45,1
PR(ON),refresh,saturating,1588.65,1
PR(ON),refresh,saturating,1588.42,1
PR(ON),refresh,saturating,1587.59,1
PR(ON),fastfail,brownout,124.07,1
PR(ON),fastfail,brownout,99.67,1
PR(ON),fastfail,brownout,81.04,1
PR(ON),fastfail,brownout,80.74,1
PR(ON),fastfail,brownout,92.28,1
PR(ON),fastfail,brownout,91.84,1
PR(ON),fastfail,brownout,81.88,1
PR(ON),fastfail,brownout,80.13,1
PR(ON),fastfail,brownout,79.50,1
PR(ON),mixed,warm,76.63,0
PR(ON),mixed,warm,44.33,0
PR(ON),mixed,warm,67.51,0
PR(ON),refresh,saturating,1600.47,1
PR(ON),refresh,saturating,1599.71,1
PR(ON),refresh,saturating,1597.78,1
PR(ON),refresh,saturating,1596.09,1
PR(ON),refresh,saturating,1595.46,1
PR(ON),refresh,low,1595.54,1
PR(ON),refresh,low,1598.84,1
PR(ON),mixed,warm,19.58,0
PR(ON),mixed,warm,7.92,0
PR(ON),mixed,warm,134.23,0
PR(ON),mixed,warm,17.58,0
PR(ON),mixed,warm,50.80,0
PR(ON),mixed,warm,8.11,0
PR(ON),mixed,warm,8.58,0
PR(ON),mixed,warm,7.94,0
PR(ON),mixed,warm,10.00,0
PR(ON),mixed,warm,10.15,0
PR(ON),mixed,warm,7.98,0
PR(ON),mixed,warm,7.59,0
PR(ON),mixed,warm,26.63,0
PR(ON),mixed,warm,18.55,0
PR(ON),mixed,warm,8.50,0
PR(ON),refresh,saturating,1595.96,1
PR(ON),refresh,saturating,1595.82,1
PR(ON),refresh,saturating,1585.14,1
PR(ON),refresh,saturating,1585.23,1
PR(ON),refresh,low,1602.49,1
PR(ON),refresh,low,1590.41,1
PR(ON),refresh,low,1584.74,1
PR(ON),refresh,low,1588.70,1
PR(ON),refresh,low,1601.43,1
PR(ON),refresh,low,1598.10,1
PR(ON),refresh,low,1587.33,1
PR(ON),refresh,low,1599.60,1
PR(ON),refresh,low,1586.52,1
PR(ON),mixed,refresh,1817.16,0
PR(ON),refresh,low,1602.33,1
PR(ON),refresh,low,1593.77,1
PR(ON),refresh,low,1595.65,1
PR(ON),refresh,low,1587.11,1
PR(ON),refresh,low,1583.14,1
PR(ON),refresh,low,1589.17,1
PR(ON),refresh,low,1584.83,1
PR(ON),refresh,low,1583.70,1
PR(ON),refresh,low,1601.82,1
PR(ON),refresh,low,1585.19,1
PR(ON),coldstart,single,3605.42,0
PR(ON),coldstart,single,3586.37,0
PR(ON),refresh,saturating,1596.01,1
PR(ON),refresh,saturating,1595.74,1
PR(ON),refresh,saturating,1891.38,1
PR(ON),refresh,saturating,1887.39,1
PR(ON),refresh,saturating,1886.84,1
PR(ON),refresh,saturating,1595.47,1
PR(ON),refresh,saturating,1585.38,1
PR(ON),refresh,saturating,1585.50,1
PR(ON),refresh,saturating,1584.92,1
PR(ON),refresh,saturating,1599.15,1
PR(ON),refresh,saturating,1591.08,1
PR(ON),refresh,saturating,1589.50,1
main(OFF),fastfail,brownout,81.10,0
main(OFF),fastfail,brownout,93.85,0
main(OFF),fastfail,brownout,93.75,0
main(OFF),mixed,refresh,4033.21,0
main(OFF),mixed,refresh,3903.38,0
main(OFF),mixed,refresh,3957.29,0
main(OFF),fastfail,brownout,81.12,0
main(OFF),fastfail,brownout,81.03,0
main(OFF),fastfail,brownout,81.80,0
main(OFF),mixed,warm,96.18,0
main(OFF),mixed,warm,10.79,0
main(OFF),mixed,warm,7.65,0
main(OFF),mixed,warm,7.83,0
main(OFF),mixed,warm,8.89,0
main(OFF),mixed,warm,8.27,0
main(OFF),mixed,warm,8.20,0
main(OFF),mixed,warm,8.29,0
main(OFF),mixed,warm,20.35,0
main(OFF),mixed,warm,21.64,0
main(OFF),mixed,warm,46.56,0
main(OFF),mixed,warm,11.77,0
main(OFF),mixed,warm,9.91,0
main(OFF),mixed,warm,116.10,0
main(OFF),mixed,warm,107.88,0
PR(ON),coldstart,single,3691.03,0
main(OFF),fastfail,brownout,80.64,0
main(OFF),fastfail,brownout,81.48,0
main(OFF),fastfail,brownout,81.06,0
main(OFF),fastfail,brownout,81.84,0
main(OFF),fastfail,brownout,93.73,0
main(OFF),fastfail,brownout,408.20,0
main(OFF),fastfail,brownout,334.53,0
main(OFF),fastfail,brownout,357.13,0
main(OFF),fastfail,brownout,351.16,0
main(OFF),fastfail,brownout,349.56,0
main(OFF),fastfail,brownout,349.30,0
main(OFF),fastfail,brownout,344.30,0
main(OFF),fastfail,brownout,307.10,0
main(OFF),fastfail,brownout,328.78,0
main(OFF),fastfail,brownout,327.79,0
main(OFF),mixed,warm,107.76,0
PR(ON),mixed,refresh,1728.50,0
PR(ON),mixed,refresh,1833.64,0
main(OFF),fastfail,brownout,81.18,0
main(OFF),fastfail,brownout,93.76,0
main(OFF),fastfail,brownout,348.97,0
main(OFF),fastfail,brownout,344.46,0
main(OFF),mixed,warm,102.41,0
PR(ON),mixed,refresh,1756.98,0
main(OFF),fastfail,brownout,80.96,0
main(OFF),fastfail,brownout,80.12,0
main(OFF),fastfail,brownout,79.64,0
main(OFF),fastfail,brownout,103.98,0
main(OFF),fastfail,brownout,81.27,0
main(OFF),fastfail,brownout,80.81,0
main(OFF),fastfail,brownout,79.89,0
main(OFF),fastfail,brownout,94.13,0
main(OFF),fastfail,brownout,93.89,0
main(OFF),mixed,warm,19.73,0
main(OFF),mixed,warm,12.38,0
main(OFF),mixed,warm,79.63,0
PR(ON),refresh,low,1597.11,1
PR(ON),refresh,low,1594.83,1
PR(ON),refresh,low,1592.60,1
PR(ON),refresh,low,1579.74,1
PR(ON),refresh,low,1582.36,1
PR(ON),refresh,low,1585.58,1
PR(ON),refresh,low,1592.98,1
PR(ON),refresh,low,1603.22,1
PR(ON),refresh,low,1768.92,1
PR(ON),coldstart,single,3574.59,0
PR(ON),coldstart,single,3722.45,0
main(OFF),fastfail,brownout,80.80,0
main(OFF),fastfail,brownout,81.79,0
main(OFF),fastfail,brownout,93.95,0
main(OFF),mixed,warm,91.72,0
main(OFF),mixed,warm,13.83,0
main(OFF),mixed,warm,20.37,0
main(OFF),mixed,warm,138.11,0
main(OFF),mixed,warm,8.91,0
main(OFF),mixed,warm,12.60,0
main(OFF),mixed,warm,9.48,0
main(OFF),mixed,warm,18.57,0
main(OFF),mixed,warm,10.51,0
main(OFF),mixed,warm,9.98,0
main(OFF),mixed,warm,43.93,0
main(OFF),mixed,warm,109.54,0
main(OFF),mixed,warm,15.42,0
main(OFF),mixed,warm,14.72,0
main(OFF),mixed,warm,93.04,0
main(OFF),mixed,warm,8.14,0
main(OFF),mixed,warm,8.21,0
main(OFF),mixed,warm,79.79,0
main(OFF),fastfail,brownout,81.69,0
main(OFF),fastfail,brownout,80.09,0
main(OFF),fastfail,brownout,124.67,0
main(OFF),fastfail,brownout,116.46,0
main(OFF),fastfail,brownout,94.16,0
main(OFF),fastfail,brownout,93.83,0
main(OFF),mixed,warm,71.52,0
main(OFF),mixed,warm,107.86,0
main(OFF),mixed,warm,70.57,0
main(OFF),mixed,warm,71.51,0
PR(ON),coldstart,single,3645.40,0
PR(ON),coldstart,single,3660.93,0
PR(ON),coldstart,single,3615.70,0
main(OFF),fastfail,brownout,85.15,0
main(OFF),fastfail,brownout,81.14,0
main(OFF),fastfail,brownout,81.10,0
main(OFF),fastfail,brownout,81.40,0
main(OFF),fastfail,brownout,93.69,0
main(OFF),mixed,warm,71.60,0
PR(ON),fastfail,brownout,99.54,1
PR(ON),fastfail,brownout,81.60,1
PR(ON),fastfail,brownout,81.26,1
PR(ON),fastfail,brownout,80.71,1
PR(ON),fastfail,brownout,77.19,1
PR(ON),fastfail,brownout,110.66,1
PR(ON),fastfail,brownout,104.41,1
PR(ON),fastfail,brownout,102.00,1
PR(ON),fastfail,brownout,100.55,1
PR(ON),fastfail,brownout,92.46,1
PR(ON),fastfail,brownout,91.86,1
PR(ON),fastfail,brownout,84.75,1
PR(ON),fastfail,brownout,81.50,1
PR(ON),fastfail,brownout,80.93,1
PR(ON),fastfail,brownout,80.78,1
PR(ON),fastfail,brownout,315.15,1
PR(ON),fastfail,brownout,303.86,1
PR(ON),fastfail,brownout,294.98,1
PR(ON),fastfail,brownout,291.37,1
PR(ON),fastfail,brownout,275.65,1
PR(ON),fastfail,brownout,274.92,1
PR(ON),fastfail,brownout,270.87,1
PR(ON),fastfail,brownout,267.30,1
PR(ON),fastfail,brownout,258.31,1
PR(ON),refresh,saturating,1589.47,1
PR(ON),refresh,saturating,1587.29,1
PR(ON),refresh,saturating,1584.80,1
PR(ON),refresh,saturating,1584.13,1
PR(ON),refresh,saturating,1583.78,1
PR(ON),refresh,saturating,1831.05,1
PR(ON),refresh,saturating,1825.57,1
PR(ON),refresh,saturating,1821.56,1
PR(ON),refresh,saturating,1818.28,1
PR(ON),refresh,saturating,1816.73,1
PR(ON),refresh,saturating,1815.80,1
PR(ON),refresh,saturating,1808.96,1
PR(ON),refresh,saturating,1804.54,1
PR(ON),refresh,saturating,1801.26,1
PR(ON),refresh,saturating,1793.45,1
PR(ON),refresh,saturating,1785.50,1
PR(ON),refresh,saturating,1779.69,1
main(OFF),mixed,warm,71.65,0
main(OFF),mixed,refresh,3894.03,0
main(OFF),mixed,refresh,3925.42,0
main(OFF),mixed,refresh,4032.89,0
main(OFF),refresh,saturating,4057.36,0
main(OFF),refresh,saturating,4041.33,0
main(OFF),refresh,saturating,4027.37,0
main(OFF),refresh,saturating,4035.74,0
main(OFF),refresh,saturating,4057.44,0
main(OFF),refresh,saturating,4042.46,0
main(OFF),refresh,saturating,4027.36,0
main(OFF),refresh,saturating,4035.45,0
main(OFF),refresh,saturating,4027.35,0
main(OFF),refresh,saturating,4035.67,0
main(OFF),refresh,saturating,4035.76,0
main(OFF),refresh,saturating,4036.39,0
main(OFF),refresh,saturating,4035.27,0
main(OFF),refresh,saturating,4034.85,0
main(OFF),refresh,saturating,4081.65,0
main(OFF),refresh,saturating,4050.59,0
main(OFF),refresh,saturating,4036.94,0
main(OFF),mixed,refresh,3885.72,0
main(OFF),mixed,refresh,3906.65,0
main(OFF),mixed,refresh,4027.93,0
main(OFF),refresh,saturating,4056.39,0
main(OFF),refresh,saturating,4042.43,0
main(OFF),refresh,saturating,4027.31,0
main(OFF),refresh,saturating,4019.87,0
main(OFF),refresh,saturating,4019.08,0
main(OFF),refresh,saturating,4036.90,0
PR(ON),mixed,refresh,1723.79,0
PR(ON),mixed,refresh,1756.98,0
PR(ON),mixed,refresh,1772.12,0
main(OFF),mixed,refresh,3896.24,0
main(OFF),mixed,refresh,3925.43,0
main(OFF),mixed,refresh,3960.85,0
main(OFF),refresh,saturating,4067.19,0
main(OFF),refresh,saturating,4036.89,0
main(OFF),refresh,saturating,4035.18,0
main(OFF),refresh,saturating,4019.87,0
main(OFF),refresh,saturating,4036.90,0
main(OFF),mixed,refresh,3916.81,0
main(OFF),mixed,refresh,3925.37,0
main(OFF),refresh,saturating,4035.68,0
main(OFF),refresh,saturating,4035.19,0
main(OFF),refresh,saturating,4021.18,0
main(OFF),refresh,saturating,4049.43,0
main(OFF),refresh,saturating,4037.01,0
PR(ON),mixed,refresh,1756.48,0
main(OFF),refresh,saturating,4048.92,0
main(OFF),refresh,saturating,4034.74,0
main(OFF),refresh,saturating,4034.29,0
main(OFF),refresh,saturating,4020.07,0
main(OFF),refresh,saturating,4019.45,0
main(OFF),refresh,saturating,4036.95,0
main(OFF),mixed,refresh,4033.00,0
main(OFF),refresh,saturating,4041.57,0
main(OFF),refresh,saturating,4027.31,0
main(OFF),refresh,saturating,4048.92,0
main(OFF),refresh,saturating,4019.65,0
main(OFF),refresh,saturating,4019.42,0
main(OFF),refresh,saturating,4036.77,0
main(OFF),refresh,low,4034.19,0
main(OFF),refresh,saturating,4036.58,0
main(OFF),refresh,low,4046.73,0
main(OFF),refresh,low,4031.63,0
main(OFF),refresh,low,4046.87,0
main(OFF),refresh,low,4095.57,0
main(OFF),refresh,low,4034.23,0
main(OFF),refresh,saturating,4036.93,0
main(OFF),refresh,low,4018.44,0
main(OFF),refresh,low,4036.52,0
main(OFF),refresh,low,4030.01,0
main(OFF),refresh,saturating,4036.92,0
main(OFF),refresh,low,4033.41,0
main(OFF),refresh,low,4035.55,0
main(OFF),refresh,low,4031.46,0
main(OFF),refresh,low,4034.19,0
main(OFF),refresh,low,4015.70,0
main(OFF),refresh,low,4030.09,0
main(OFF),refresh,low,4031.72,0
main(OFF),refresh,low,4038.52,0
main(OFF),refresh,low,4022.69,0
main(OFF),refresh,low,4030.40,0
main(OFF),refresh,low,4019.21,0
main(OFF),refresh,low,4026.14,0
main(OFF),refresh,low,4038.87,0
main(OFF),refresh,low,4053.48,0
main(OFF),mixed,warm,66.34,0
main(OFF),refresh,low,4031.01,0
main(OFF),refresh,low,4034.81,0
main(OFF),refresh,low,4050.43,0
main(OFF),refresh,low,4039.12,0
main(OFF),refresh,low,4026.92,0
main(OFF),refresh,low,4046.59,0
main(OFF),refresh,low,4036.68,0
main(OFF),coldstart,single,12254.26,0
main(OFF),coldstart,single,12307.80,0
main(OFF),coldstart,single,12408.38,0
main(OFF),coldstart,single,12388.39,0
main(OFF),coldstart,single,12370.08,0
main(OFF),coldstart,single,12312.00,0
main(OFF),coldstart,single,12326.24,0
main(OFF),coldstart,single,12534.34,0
