label,partitions,hedgingOn,degraded,thresholdMs,totalOps,hedgeFired,budgetExhausted,primaryWins,meterFires,maxConcurrentSecondary,p50Ms,p95Ms,p99Ms,maxMs,wallSec
Healthy-baseline,2000,1,0,150,2000,0,1920,80,0,0,16.43,31.74,32.37,61.32,0.26
Degraded-P100-HEDGE_ON,100,1,1,150,100,8,92,0,8,8,728.55,975.75,991.74,1007.67,1.01
Degraded-P100-HEDGE_OFF,100,0,1,150,100,0,0,100,0,0,761.81,1005.56,1005.72,1005.78,1.01
Degraded-P10000-HEDGE_ON,10000,1,1,150,10000,800,9200,0,800,8,734.14,981.94,1002.07,1024.61,18.36
Degraded-P10000-HEDGE_OFF,10000,0,1,150,10000,0,0,10000,0,0,753.86,981.78,1000.72,1024.71,19.44
Degraded-P50000-HEDGE_ON,50000,1,1,150,50000,4054,45946,0,4054,8,736.54,981.28,1001.46,1028.34,89.40
Degraded-P50000-HEDGE_OFF,50000,0,1,150,50000,0,0,50000,0,0,755.06,982.77,1001.02,1028.84,95.24
Degraded-P100-REALTIME-HEDGE_ON,100,1,1,1500,100,56,44,0,56,8,1572.98,9525.05,9914.01,9957.56,18.13
