arm,scenario,regime,latencyMs,hedged
PR(ON),mixed,refresh,1759.17,0
PR(ON),fastfail,brownout,82.39,0
PR(ON),fastfail,brownout,78.00,0
PR(ON),fastfail,brownout,77.13,0
PR(ON),fastfail,brownout,76.59,0
PR(ON),fastfail,brownout,73.18,0
PR(ON),fastfail,brownout,97.76,0
PR(ON),fastfail,brownout,82.01,0
PR(ON),fastfail,brownout,81.36,0
PR(ON),fastfail,brownout,80.71,0
PR(ON),fastfail,brownout,80.20,0
PR(ON),fastfail,brownout,271.39,0
PR(ON),mixed,warm,9.37,0
PR(ON),mixed,warm,70.07,0
PR(ON),mixed,warm,7.72,0
PR(ON),mixed,warm,7.86,0
PR(ON),mixed,warm,7.52,0
PR(ON),mixed,warm,8.71,0
PR(ON),mixed,warm,60.96,0
PR(ON),mixed,warm,8.26,0
PR(ON),fastfail,brownout,82.40,0
PR(ON),fastfail,brownout,77.77,0
PR(ON),fastfail,brownout,80.57,0
PR(ON),fastfail,brownout,80.19,0
PR(ON),fastfail,brownout,76.34,0
PR(ON),fastfail,brownout,73.92,0
PR(ON),fastfail,brownout,83.30,0
PR(ON),fastfail,brownout,83.22,0
PR(ON),fastfail,brownout,81.73,0
PR(ON),fastfail,brownout,81.52,0
PR(ON),fastfail,brownout,80.89,0
PR(ON),fastfail,brownout,80.70,0
PR(ON),fastfail,brownout,77.61,0
PR(ON),fastfail,brownout,76.75,0
PR(ON),fastfail,brownout,75.23,0
PR(ON),fastfail,brownout,74.37,0
PR(ON),fastfail,brownout,324.52,0
PR(ON),fastfail,brownout,306.92,0
PR(ON),fastfail,brownout,296.71,0
PR(ON),fastfail,brownout,292.45,0
PR(ON),fastfail,brownout,289.48,0
PR(ON),fastfail,brownout,284.43,0
PR(ON),fastfail,brownout,282.68,0
PR(ON),fastfail,brownout,281.36,0
PR(ON),fastfail,brownout,279.50,0
PR(ON),fastfail,brownout,278.79,0
PR(ON),fastfail,brownout,276.90,0
PR(ON),mixed,warm,14.78,0
PR(ON),mixed,warm,7.69,0
PR(ON),mixed,warm,8.15,0
PR(ON),mixed,warm,7.45,0
PR(ON),mixed,warm,47.06,0
PR(ON),mixed,warm,44.36,0
PR(ON),mixed,warm,44.77,0
PR(ON),fastfail,brownout,82.40,0
PR(ON),fastfail,brownout,80.11,0
PR(ON),fastfail,brownout,78.34,0
PR(ON),fastfail,brownout,76.24,0
PR(ON),fastfail,brownout,80.64,0
PR(ON),fastfail,brownout,77.96,0
PR(ON),mixed,warm,9.39,0
PR(ON),mixed,warm,77.28,0
PR(ON),mixed,warm,7.74,0
PR(ON),mixed,warm,55.39,0
PR(ON),mixed,warm,44.17,0
PR(ON),mixed,warm,40.26,0
PR(ON),refresh,saturating,4046.51,0
PR(ON),refresh,saturating,4031.37,0
PR(ON),mixed,refresh,1734.71,0
PR(ON),mixed,refresh,1819.14,0
PR(ON),refresh,saturating,4031.32,0
PR(ON),refresh,saturating,4037.64,0
PR(ON),refresh,saturating,4021.50,0
PR(ON),mixed,refresh,1774.76,0
PR(ON),refresh,saturating,4021.49,0
PR(ON),mixed,refresh,1758.05,0
PR(ON),refresh,saturating,4030.39,0
PR(ON),refresh,saturating,4031.31,0
PR(ON),refresh,saturating,4030.59,0
PR(ON),refresh,low,1607.35,0
PR(ON),refresh,low,1606.14,0
PR(ON),refresh,low,1588.93,0
PR(ON),refresh,low,1581.35,0
PR(ON),refresh,low,1590.76,0
PR(ON),refresh,low,1601.80,0
PR(ON),refresh,low,1594.42,0
PR(ON),refresh,low,1592.93,0
PR(ON),refresh,low,1588.29,0
PR(ON),refresh,low,1595.69,0
PR(ON),refresh,low,1585.19,0
PR(ON),refresh,low,1605.24,0
PR(ON),refresh,low,1587.42,0
PR(ON),refresh,low,1599.59,0
PR(ON),refresh,low,1581.11,0
PR(ON),refresh,low,1583.63,0
PR(ON),refresh,low,1584.97,0
PR(ON),refresh,low,1596.66,0
PR(ON),refresh,low,1592.38,0
PR(ON),refresh,low,1592.65,0
PR(ON),refresh,saturating,4039.02,0
PR(ON),refresh,saturating,4023.71,0
PR(ON),refresh,low,1586.08,0
PR(ON),refresh,low,1593.58,0
PR(ON),refresh,low,1595.08,0
PR(ON),refresh,low,1592.68,0
PR(ON),refresh,low,1590.77,0
PR(ON),refresh,low,1589.97,0
PR(ON),refresh,low,1591.52,0
PR(ON),refresh,low,1582.75,0
PR(ON),refresh,low,1587.08,0
PR(ON),refresh,low,1804.38,0
PR(ON),coldstart,single,3597.23,1
PR(ON),coldstart,single,3709.38,1
PR(ON),coldstart,single,3685.79,1
PR(ON),coldstart,single,3643.03,1
PR(ON),coldstart,single,3739.28,1
PR(ON),coldstart,single,3706.82,1
PR(ON),coldstart,single,3582.04,1
PR(ON),coldstart,single,3702.46,1
main(OFF),fastfail,brownout,86.65,0
main(OFF),fastfail,brownout,81.58,0
main(OFF),fastfail,brownout,81.21,0
main(OFF),fastfail,brownout,80.99,0
main(OFF),fastfail,brownout,80.70,0
main(OFF),fastfail,brownout,81.41,0
main(OFF),fastfail,brownout,81.13,0
main(OFF),fastfail,brownout,80.95,0
main(OFF),fastfail,brownout,80.72,0
main(OFF),fastfail,brownout,77.67,0
main(OFF),fastfail,brownout,77.57,0
main(OFF),fastfail,brownout,77.32,0
main(OFF),fastfail,brownout,121.88,0
main(OFF),fastfail,brownout,88.07,0
main(OFF),fastfail,brownout,82.80,0
PR(ON),mixed,refresh,1736.79,0
main(OFF),mixed,refresh,3968.20,0
PR(ON),mixed,refresh,1749.56,0
main(OFF),mixed,warm,53.78,0
PR(ON),mixed,refresh,1819.16,0
PR(ON),refresh,saturating,4021.51,0
PR(ON),refresh,saturating,4030.49,0
main(OFF),mixed,warm,10.29,0
main(OFF),mixed,warm,7.87,0
main(OFF),mixed,warm,8.71,0
main(OFF),mixed,warm,15.67,0
main(OFF),mixed,warm,8.15,0
main(OFF),mixed,warm,22.64,0
main(OFF),mixed,warm,56.84,0
main(OFF),mixed,warm,58.12,0
main(OFF),mixed,warm,53.97,0
main(OFF),mixed,warm,53.37,0
main(OFF),mixed,warm,52.02,0
main(OFF),fastfail,brownout,80.96,0
main(OFF),fastfail,brownout,82.64,0
main(OFF),fastfail,brownout,82.22,0
main(OFF),fastfail,brownout,81.67,0
main(OFF),mixed,warm,26.20,0
main(OFF),mixed,warm,52.33,0
main(OFF),mixed,warm,8.40,0
main(OFF),mixed,warm,8.52,0
main(OFF),mixed,warm,8.45,0
main(OFF),mixed,warm,83.08,0
main(OFF),mixed,warm,9.83,0
main(OFF),mixed,warm,107.85,0
main(OFF),mixed,warm,48.76,0
main(OFF),mixed,warm,7.96,0
main(OFF),mixed,warm,8.77,0
main(OFF),mixed,warm,39.83,0
main(OFF),mixed,warm,7.86,0
main(OFF),mixed,warm,94.33,0
main(OFF),mixed,warm,11.66,0
main(OFF),mixed,warm,7.96,0
main(OFF),mixed,warm,11.55,0
main(OFF),mixed,warm,7.90,0
main(OFF),mixed,warm,8.16,0
